"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 07, 2018","6,130.6","6,010.0","6,145.0","5,982.6","1.13K","2.01%"
"Aug 06, 2018","6,010.0","6,085.7","6,188.8","5,920.0","1.14K","-1.24%"
"Aug 05, 2018","6,085.7","6,055.7","6,134.1","5,958.0","0.88K","0.49%"
"Aug 04, 2018","6,055.7","6,415.0","6,470.0","6,000.0","1.39K","-5.60%"
"Aug 03, 2018","6,415.0","6,510.3","6,514.8","6,311.0","1.42K","-1.47%"
"Aug 02, 2018","6,510.5","6,528.6","6,628.9","6,440.2","1.09K","-0.28%"
"Aug 01, 2018","6,528.6","6,614.4","6,614.4","6,374.1","1.85K","-1.30%"
"Jul 31, 2018","6,614.4","6,984.0","6,984.0","6,550.9","1.93K","-5.35%"
"Jul 30, 2018","6,988.5","7,052.7","7,098.3","6,718.3","1.61K","-0.91%"
"Jul 29, 2018","7,052.7","7,055.0","7,092.0","6,979.9","0.44K","-0.03%"
"Jul 28, 2018","7,055.0","7,025.0","7,084.1","6,939.1","0.53K","0.43%"
"Jul 27, 2018","7,025.0","6,816.0","7,100.0","6,707.6","1.88K","3.07%"
"Jul 26, 2018","6,816.0","6,970.0","7,130.0","6,755.0","1.78K","-2.21%"
"Jul 25, 2018","6,970.0","7,180.0","7,256.0","6,887.0","2.59K","-3.06%"
"Jul 24, 2018","7,189.9","6,609.7","7,250.0","6,601.0","3.27K","8.78%"
"Jul 23, 2018","6,609.7","6,320.2","6,670.0","6,306.8","1.86K","4.58%"
"Jul 22, 2018","6,320.2","6,323.5","6,444.6","6,267.0","0.61K","-0.08%"
"Jul 21, 2018","6,325.4","6,260.2","6,363.0","6,163.0","0.61K","1.04%"
"Jul 20, 2018","6,260.3","6,418.3","6,570.0","6,199.0","1.65K","-2.46%"
"Jul 19, 2018","6,418.3","6,330.3","6,490.0","6,239.6","1.51K","1.39%"
"Jul 18, 2018","6,330.3","6,275.1","6,514.2","6,221.0","2.56K","0.88%"
"Jul 17, 2018","6,275.1","5,729.9","6,400.0","5,673.8","2.63K","9.51%"
"Jul 16, 2018","5,729.9","5,438.3","5,749.0","5,417.9","3.20K","5.42%"
"Jul 15, 2018","5,435.2","5,375.7","5,483.0","5,351.0","0.40K","1.11%"
"Jul 14, 2018","5,375.7","5,338.7","5,440.0","5,306.9","0.41K","0.69%"
"Jul 13, 2018","5,338.7","5,362.2","5,432.0","5,257.2","0.95K","-0.40%"
"Jul 12, 2018","5,360.0","5,470.0","5,470.0","5,218.0","1.23K","-2.01%"
"Jul 11, 2018","5,470.0","5,381.2","5,477.7","5,366.0","0.95K","1.69%"
"Jul 10, 2018","5,378.9","5,676.1","5,680.0","5,363.7","1.53K","-5.24%"
"Jul 09, 2018","5,676.1","5,718.9","5,792.0","5,652.9","0.92K","-0.74%"
"Jul 08, 2018","5,718.7","5,758.7","5,773.0","5,682.6","0.49K","-0.70%"
"Jul 07, 2018","5,758.7","5,641.4","5,800.0","5,564.0","0.45K","2.08%"
"Jul 06, 2018","5,641.4","5,599.8","5,673.2","5,524.2","0.83K","0.73%"
"Jul 05, 2018","5,600.7","5,659.5","5,750.0","5,542.8","1.08K","-1.03%"
"Jul 04, 2018","5,658.9","5,598.8","5,830.0","5,507.8","0.97K","1.18%"
"Jul 03, 2018","5,593.0","5,695.4","5,739.8","5,563.1","0.97K","-1.80%"
"Jul 02, 2018","5,695.4","5,454.2","5,762.5","5,400.0","1.49K","4.42%"
"Jul 01, 2018","5,454.2","5,467.9","5,497.8","5,365.7","0.48K","-0.25%"
"Jun 30, 2018","5,467.9","5,300.0","5,523.0","5,287.0","0.91K","3.17%"
"Jun 29, 2018","5,300.0","5,065.7","5,375.9","4,968.4","1.81K","4.54%"
"Jun 28, 2018","5,069.6","5,312.2","5,328.9","5,031.8","1.60K","-4.57%"
"Jun 27, 2018","5,312.2","5,219.5","5,367.8","5,155.9","1.03K","1.78%"
"Jun 26, 2018","5,219.5","5,343.6","5,380.0","5,204.5","1.01K","-2.32%"
"Jun 25, 2018","5,343.6","5,289.0","5,443.6","5,213.9","1.41K","1.05%"
"Jun 24, 2018","5,288.0","5,307.1","5,401.8","4,958.5","1.64K","-0.36%"
"Jun 23, 2018","5,307.1","5,218.8","5,379.5","5,184.4","0.76K","1.85%"
"Jun 22, 2018","5,210.5","5,800.0","5,803.5","5,100.0","2.36K","-10.18%"
"Jun 21, 2018","5,801.1","5,835.0","5,888.5","5,770.0","0.72K","-0.58%"
"Jun 20, 2018","5,835.0","5,829.1","5,883.0","5,675.8","0.74K","0.10%"
"Jun 19, 2018","5,829.3","5,775.3","5,944.5","5,742.1","1.11K","0.93%"
"Jun 18, 2018","5,775.6","5,560.9","5,863.6","5,511.0","1.47K","3.86%"
"Jun 17, 2018","5,560.9","5,605.7","5,660.8","5,552.3","0.58K","-0.80%"
"Jun 16, 2018","5,605.7","5,519.9","5,657.0","5,465.2","0.58K","1.55%"
"Jun 15, 2018","5,519.9","5,753.3","5,768.6","5,503.0","1.15K","-4.06%"
"Jun 14, 2018","5,753.3","5,348.7","5,808.0","5,337.0","2.51K","7.56%"
"Jun 13, 2018","5,348.7","5,576.6","5,639.0","5,211.0","2.51K","-4.10%"
"Jun 12, 2018","5,577.5","5,871.0","5,871.0","5,503.3","2.40K","-5.00%"
