Date,Price,Open,High,Low,Vol.,Change %
Jun 28 2018,5069.6,5312.2,5328.9,5031.8,1.60K,-4.57%
Jun 27 2018,5312.2,5219.5,5367.8,5155.9,1.03K,1.78%
Jun 26 2018,5219.5,5343.6,5380.0,5204.5,1.01K,-2.32%
Jun 25 2018,5343.6,5289.0,5443.6,5213.9,1.41K,1.05%
Jun 24 2018,5288.0,5307.1,5401.8,4958.5,1.64K,-0.36%
Jun 23 2018,5307.1,5218.8,5379.5,5184.4,0.76K,1.85%
Jun 22 2018,5210.5,5800.0,5803.5,5100.0,2.36K,-10.18%
Jun 21 2018,5801.1,5835.0,5888.5,5770.0,0.72K,-0.58%
Jun 20 2018,5835.0,5829.1,5883.0,5675.8,0.74K,0.10%
Jun 19 2018,5829.3,5775.3,5944.5,5742.1,1.11K,0.93%
Jun 18 2018,5775.6,5560.9,5863.6,5511.0,1.47K,3.86%
Jun 17 2018,5560.9,5605.7,5660.8,5552.3,0.58K,-0.80%
Jun 16 2018,5605.7,5519.9,5657.0,5465.2,0.58K,1.55%
Jun 15 2018,5519.9,5753.3,5768.6,5503.0,1.15K,-4.06%
Jun 14 2018,5753.3,5348.7,5808.0,5337.0,2.51K,7.56%
Jun 13 2018,5348.7,5576.6,5639.0,5211.0,2.51K,-4.10%
Jun 12 2018,5577.5,5871.0,5871.0,5503.3,2.40K,-5.00%
Jun 11 2018,5871.0,5759.0,5899.0,5636.1,2.11K,1.94%
Jun 10 2018,5759.0,6401.4,6401.4,5712.0,2.41K,-10.04%
Jun 09 2018,6401.4,6487.5,6535.0,6401.4,0.40K,-1.33%
Jun 08 2018,6487.5,6534.7,6534.7,6438.1,0.74K,-0.72%
Jun 07 2018,6534.7,6520.8,6586.6,6489.4,0.79K,0.31%
Jun 06 2018,6514.7,6509.6,6549.0,6383.0,0.97K,0.08%
Jun 05 2018,6509.6,6420.8,6551.3,6330.0,1.18K,1.38%
